         13487382 function calls (13481689 primitive calls) in 50.777 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    211/1    0.004    0.000   50.778   50.778 {built-in method builtins.exec}
        1    0.001    0.001   50.778   50.778 create_game.py:1(<module>)
        1    0.007    0.007   37.113   37.113 game.py:98(run)
     1179    0.036    0.000   33.624    0.029 game.py:127(do_frame)
     1334    0.396    0.000   26.212    0.020 world.py:332(load_nearest_chunk)
      379    0.002    0.000   15.914    0.042 world.py:387(load_chunk_fast)
      379    2.541    0.007   15.907    0.042 world.py:174(generate_all_data)
  1169408   10.712    0.000   13.642    0.000 world.py:112(interpolate_cave_noise)
      577    0.013    0.000   12.747    0.022 game.py:281(game_logic)
        2    0.003    0.001   11.312    5.656 create_game.py:85(run)
      331    0.008    0.000   11.155    0.034 create_game.py:101(do_frame)
     1510   10.383    0.007   10.383    0.007 {method 'tick' of 'pygame.time.Clock' objects}
      384    0.002    0.000    8.233    0.021 world.py:383(load_chunk)
      384    0.014    0.000    8.228    0.021 world.py:129(generate_next)
     6144    1.299    0.000    6.486    0.001 world.py:138(generate_data)
   654035    5.149    0.000    5.149    0.000 {method 'blit' of 'pygame.surface.Surface' objects}
      571    1.912    0.003    4.994    0.009 world.py:218(generate_chunk_texture)
     1179    0.273    0.000    4.959    0.004 game.py:229(draw)
      577    0.113    0.000    3.810    0.007 world.py:300(update_entitys)
     6282    0.142    0.000    3.691    0.001 entity.py:172(update)
       26    0.005    0.000    3.116    0.120 __init__.py:1(<module>)
    29610    0.141    0.000    2.811    0.000 entity.py:132(collide)
    30187    0.471    0.000    2.708    0.000 world.py:396(get_blocks)
    22840    0.353    0.000    2.683    0.000 perlin_noise.py:59(noise)
   614187    0.938    0.000    2.237    0.000 world.py:399(get_block)
  4713582    1.950    0.000    1.950    0.000 {method 'copy' of 'pygame.math.Vector2' objects}
     1510    1.894    0.001    1.894    0.001 {built-in method pygame.display.update}
    54816    0.152    0.000    1.733    0.000 rand_vec.py:51(get_weighted_val)
      571    0.004    0.000    1.669    0.003 world.py:379(set_chunk_loader)
      571    0.048    0.000    1.664    0.003 world.py:49(__init__)
   584704    1.537    0.000    1.537    0.000 textures.py:106(get_block_texture)
    12636    0.041    0.000    1.394    0.000 entity.py:141(test)
   614187    0.862    0.000    1.299    0.000 world.py:36(block_to_chunk)
    270/4    0.008    0.000    1.229    0.307 <frozen importlib._bootstrap>:1349(_find_and_load)
    269/4    0.003    0.000    1.228    0.307 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    262/4    0.003    0.000    1.222    0.306 <frozen importlib._bootstrap>:911(_load_unlocked)
    206/4    0.002    0.000    1.222    0.305 <frozen importlib._bootstrap_external>:993(exec_module)
    623/8    0.002    0.000    1.212    0.151 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
  1251904    1.065    0.000    1.065    0.000 {built-in method builtins.sum}
    54816    0.225    0.000    1.006    0.000 rand_vec.py:37(weight_to)
     1541    1.003    0.001    1.003    0.001 {method 'fill' of 'pygame.surface.Surface' objects}
     6282    0.025    0.000    0.746    0.000 entity.py:146(test_xy)
        2    0.001    0.000    0.640    0.320 create_game.py:10(__init__)
   109632    0.486    0.000    0.631    0.000 rand_vec.py:23(dists_to)
